algo_name,total_cities,optimal_distance
NearestNeighbor,4,1667.3405239555284
AntColonyOptimization,4,1667.3405239555284
NearestNeighbor,5,1848.845471930698
AntColonyOptimization,5,1848.845471930698
NearestNeighbor,6,1856.304300315766
AntColonyOptimization,6,1856.304300315766
NearestNeighbor,7,1953.7644753052114
AntColonyOptimization,7,1953.7644753052114
NearestNeighbor,8,2010.5773372098415
AntColonyOptimization,8,2010.5773372098415
NearestNeighbor,9,2149.1989675075306
AntColonyOptimization,9,2149.1989675075306
NearestNeighbor,10,2166.994029007384
AntColonyOptimization,10,2166.994029007384
NearestNeighbor,11,2342.661070417745
AntColonyOptimization,11,2342.661070417745
NearestNeighbor,12,2585.136589724694
AntColonyOptimization,12,2433.8749386408554
NearestNeighbor,13,2585.579741180379
AntColonyOptimization,13,2569.6667612593023
NearestNeighbor,14,2598.444443104186
AntColonyOptimization,14,2505.995751663892
NearestNeighbor,15,2617.58027971052
AntColonyOptimization,15,2482.3693455243833
NearestNeighbor,16,2659.3724393627626
AntColonyOptimization,16,2524.161505176626
NearestNeighbor,17,2816.720358470284
AntColonyOptimization,17,2557.998907065423
NearestNeighbor,18,2657.6223675070805
AntColonyOptimization,18,2784.8559264349315
NearestNeighbor,19,2886.766956966069
AntColonyOptimization,19,2767.569033091582
NearestNeighbor,20,2888.221135546489
AntColonyOptimization,20,2888.221135546489
NearestNeighbor,21,2888.6071463289363
AntColonyOptimization,21,2819.992369095711
NearestNeighbor,22,2916.894531880975
AntColonyOptimization,22,2768.7443388408574
NearestNeighbor,23,2921.3728022141195
AntColonyOptimization,23,2773.2226091740017
NearestNeighbor,24,3060.861624986524
AntColonyOptimization,24,2911.844120556681
NearestNeighbor,25,3262.7513563773664
AntColonyOptimization,25,3114.6011633372486
NearestNeighbor,26,3262.908534800092
AntColonyOptimization,26,3084.725648095557
NearestNeighbor,27,3337.9183460872446
AntColonyOptimization,27,3199.1915375232043
NearestNeighbor,28,3652.298679782581
AntColonyOptimization,28,3547.5648218397073
NearestNeighbor,29,3656.906460605527
AntColonyOptimization,29,3292.9864393779726
NearestNeighbor,30,3658.5046315252634
AntColonyOptimization,30,3353.004434355105
NearestNeighbor,31,3668.8228611930676
AntColonyOptimization,31,3480.933479320477
NearestNeighbor,32,3751.8687306046722
AntColonyOptimization,32,3384.844341177859
NearestNeighbor,33,4243.084441950616
AntColonyOptimization,33,3488.81128495248
NearestNeighbor,34,4243.185871531195
AntColonyOptimization,34,3556.3059329755283
NearestNeighbor,35,4384.318810938619
AntColonyOptimization,35,3673.19094234069
NearestNeighbor,36,4425.0475217745125
AntColonyOptimization,36,3730.899154915256
NearestNeighbor,37,4435.91225033499
AntColonyOptimization,37,3806.2996980883427
NearestNeighbor,38,4455.26253830686
AntColonyOptimization,38,3835.008275427179
NearestNeighbor,39,3971.2036681946397
AntColonyOptimization,39,3931.504559407516
NearestNeighbor,40,4631.357118166593
AntColonyOptimization,40,3936.57065274353
